"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 30 10:30:46 UTC 2026","Thu Apr 30 10:32:16 UTC 2026","89831","Hana POS Automation - UI (headless)","cash_And_Carry_Page_Testcases/Hana_T51.spec.ts","","","","Hana_T51 - Cash and Carry Page - Payments - Cash Payment Section - Functionality Test",""
"passed","Thu Apr 30 10:40:27 UTC 2026","Thu Apr 30 10:42:07 UTC 2026","100231","Hana POS Automation - UI (headless)","phoneOrderTestcases/delivery_PhoneOrderTestcases/Hana_T447_delivery_functionality_with_new_customer_functionality_test.spec.ts","","","","Hana_T447 - Phone Order Delivery Type with New Customer Functionality Test",""
"passed","Thu Apr 30 10:32:16 UTC 2026","Thu Apr 30 10:33:49 UTC 2026","92347","Hana POS Automation - UI (headless)","cash_And_Carry_Page_Testcases/Hana_T59.spec.ts","","","","Hana_T59 - Cash and Carry Page - Payments - Paid Outside Hana POH Payment Section - Functionality Test",""
"failed","Thu Apr 30 10:53:52 UTC 2026","Thu Apr 30 10:55:32 UTC 2026","100637","Hana POS Automation - UI (headless)","website_Testcases/paymentTypeTestcases/checkoutPage_DeliveryType_CashOnDelivery_Payment_FunctionalityTest.spec.ts","Checkout Page - Delivery Type Cash On Delivery Payment Functionality","","","Checkout Page Delivery Type - Payment Section as COD Functionality Test",""
"passed","Thu Apr 30 10:28:41 UTC 2026","Thu Apr 30 10:30:18 UTC 2026","97294","Hana POS Automation - UI (headless)","cash_And_Carry_Page_Testcases/Hana_T37.spec.ts","","","","Hana_T37 - Cash and Carry Page - Add New Customer - Functionality Test",""
"failed","Thu Apr 30 10:55:40 UTC 2026","Thu Apr 30 10:56:47 UTC 2026","66354","Hana POS Automation - UI (headless)","website_Testcases/paymentTypeTestcases/checkoutPage_PickupType_CreditCard_Payment_FunctionalityTest.spec.ts","Checkout Page - Pickup Type Credit Card Payment Functionality","","","Checkout Page Pickup Type - Credit Card Payment End to End Functionality Test",""
"passed","Thu Apr 30 10:38:57 UTC 2026","Thu Apr 30 10:40:30 UTC 2026","92393","Hana POS Automation - UI (headless)","phoneOrderTestcases/delivery_PhoneOrderTestcases/Hana_T446_delivery_functionality_with_existing_customer_functionality_test.spec.ts","","","","Hana_T446 - Phone Order Delivery Type with Existing Customer Functionality Test",""
"failed","Thu Apr 30 10:54:42 UTC 2026","Thu Apr 30 10:55:37 UTC 2026","54828","Hana POS Automation - UI (headless)","website_Testcases/paymentTypeTestcases/checkoutPage_DeliveryType_CreditCard_Payment_FunctionalityTest.spec.ts","","","","Checkout Page - Delivery Type Credit Card Payment Functionality Test",""
"passed","Thu Apr 30 10:46:14 UTC 2026","Thu Apr 30 10:48:56 UTC 2026","161887","Hana POS Automation - UI (headless)","proposalTestcases/Hana_T259.spec.ts","","","","Hana_T259 - Wedding Proposal with New customer Functionality Test",""
"passed","Thu Apr 30 10:55:40 UTC 2026","Thu Apr 30 10:56:50 UTC 2026","70559","Hana POS Automation - UI (headless)","website_Testcases/paymentTypeTestcases/checkoutPage_PickupType_InvoiceHouseAccount_Payment_FunctionalityTest.spec.ts","Checkout Page - Pickup Type Invoice House Account Payment Functionality","","","Checkout Page Pickup Type - Invoice House Account Payment End to End Functionality Test",""
"passed","Thu Apr 30 10:50:41 UTC 2026","Thu Apr 30 10:53:25 UTC 2026","164589","Hana POS Automation - UI (headless)","recentOrdersTestcases/Hana_T1044.spec.ts","","","","Hana_T1044 - Cancel Order with Existing Customer Functionality Test",""
"passed","Thu Apr 30 10:44:36 UTC 2026","Thu Apr 30 10:46:35 UTC 2026","118832","Hana POS Automation - UI (headless)","proposalTestcases/Hana_T_Wedding_Proposal_MakePayment_Functionality_Test.spec.ts","","","","Hana_T - Wedding Proposal Make Payment Functionality Test",""
"passed","Thu Apr 30 10:48:56 UTC 2026","Thu Apr 30 10:51:19 UTC 2026","143092","Hana POS Automation - UI (headless)","quickDispatchTestCases/Hana_T712.spec.ts","","","","Hana_T712 - Quick Dispatch with Existing Customer Functionality Test",""
"passed","Thu Apr 30 10:33:51 UTC 2026","Thu Apr 30 10:35:24 UTC 2026","92298","Hana POS Automation - UI (headless)","cash_And_Carry_Page_Testcases/Hana_T68.spec.ts","","","","Hana_T68 - Cash and Carry Page - Payments - Donation Payment Section - Functionality Test",""
"passed","Thu Apr 30 10:58:02 UTC 2026","Thu Apr 30 11:00:27 UTC 2026","144490","Hana POS Automation - UI (headless)","website_Testcases/webAdminTestcases/addNewProductWithAddons_Test.spec.ts","Web Admin Add New Product with addons Functionality","","","Hana-1219 Web admin Add New Product Availability Active Enabled Functionality Test",""
"passed","Thu Apr 30 10:55:35 UTC 2026","Thu Apr 30 10:56:45 UTC 2026","70272","Hana POS Automation - UI (headless)","website_Testcases/paymentTypeTestcases/checkoutPage_DeliveryType_InvoiceHouseAccount_Payment_FunctionalityTest.spec.ts","Checkout Page - Delivery Type Invoice House Account Payment Functionality","","","Checkout Page Delivery Type - Invoice House Account Payment Functionality Test",""
