"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 30 08:39:03 UTC 2026","Thu Apr 30 08:41:06 UTC 2026","123200","Hana POS Automation - UI (headless)","phoneOrderTestcases/delivery_PhoneOrderTestcases/Hana_T447_delivery_functionality_with_new_customer_functionality_test.spec.ts","","","","Hana_T447 - Phone Order Delivery Type with New Customer Functionality Test",""
"passed","Thu Apr 30 08:40:59 UTC 2026","Thu Apr 30 08:42:54 UTC 2026","115235","Hana POS Automation - UI (headless)","phoneOrderTestcases/wirein_PhoneOrderTestCases/Hana_T455.spec.ts","","","","Hana_T455 - Order Entry Page - Wire In - Wire In Info - Functionality Test",""
"passed","Thu Apr 30 08:29:45 UTC 2026","Thu Apr 30 08:31:36 UTC 2026","111786","Hana POS Automation - UI (headless)","cash_And_Carry_Page_Testcases/Hana_T53.spec.ts","","","","Hana_T53 - Cash and Carry Page - Payments - Check Payment Section - Functionality Test",""
"passed","Thu Apr 30 08:26:56 UTC 2026","Thu Apr 30 08:28:06 UTC 2026","70500","Hana POS Automation - UI (headless)","cash_And_Carry_Page_Testcases/Hana_T33.spec.ts","","","","Hana_T33 - Cash and Carry Page -Purchase Product with Coupon - Functionality Test",""
"failed","Thu Apr 30 08:43:08 UTC 2026","Thu Apr 30 08:44:17 UTC 2026","68969","Hana POS Automation - UI (headless)","proposalTestcases/Hana_T_Wedding_Proposal_MakePayment_Functionality_Test.spec.ts","","","","Hana_T - Wedding Proposal Make Payment Functionality Test",""
"passed","Thu Apr 30 08:48:14 UTC 2026","Thu Apr 30 08:50:43 UTC 2026","148671","Hana POS Automation - UI (headless)","recentOrdersTestcases/Hana_T1047.spec.ts","","","","Hana_T1047 - Update Order upgrade order with Invoice House Account Functionality Test",""
"failed","Thu Apr 30 08:44:08 UTC 2026","Thu Apr 30 08:45:23 UTC 2026","75196","Hana POS Automation - UI (headless)","proposalTestcases/Hana_T259.spec.ts","","","","Hana_T259 - Wedding Proposal with New customer Functionality Test",""
"failed","Thu Apr 30 08:46:48 UTC 2026","Thu Apr 30 08:49:18 UTC 2026","149962","Hana POS Automation - UI (headless)","recentOrdersTestcases/Hana_T1044.spec.ts","","","","Hana_T1044 - Cancel Order with Existing Customer Functionality Test",""
"failed","Thu Apr 30 08:57:33 UTC 2026","Thu Apr 30 08:59:08 UTC 2026","94358","Hana POS Automation - UI (headless)","website_Testcases/webAdminTestcases/createNewAddonsTest.spec.ts","Web Admin Module - Add-Ons","","","Validate Hana_T_Webadmin_Update_AddOn_Test",""
"passed","Thu Apr 30 08:27:04 UTC 2026","Thu Apr 30 08:28:41 UTC 2026","97653","Hana POS Automation - UI (headless)","cash_And_Carry_Page_Testcases/Hana_T37.spec.ts","","","","Hana_T37 - Cash and Carry Page - Add New Customer - Functionality Test",""
