"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Apr 30 07:27:58 UTC 2026","Thu Apr 30 07:29:42 UTC 2026","104107","Hana POS Automation - UI (headless)","phoneOrderTestcases/delivery_PhoneOrderTestcases/Hana_T447_delivery_functionality_with_new_customer_functionality_test.spec.ts","","","","Hana_T447 - Phone Order Delivery Type with New Customer Functionality Test",""
"failed","Thu Apr 30 07:41:08 UTC 2026","Thu Apr 30 07:43:07 UTC 2026","118844","Hana POS Automation - UI (headless)","website_Testcases/webAdminTestcases/addNewCategory_Test.spec.ts","Web Admin Module - Categories","","","Hana_T1242 Webadmin -> Categories - Add New Categories Functionality Test",""
"failed","Thu Apr 30 07:36:58 UTC 2026","Thu Apr 30 07:38:41 UTC 2026","103249","Hana POS Automation - UI (headless)","recentOrdersTestcases/Hana_T1046.spec.ts","","","","Hana_T1046 - Update Order Partial Refund Functionality Test",""
"failed","Thu Apr 30 07:22:34 UTC 2026","Thu Apr 30 07:24:19 UTC 2026","104675","Hana POS Automation - UI (headless)","cash_And_Carry_Page_Testcases/Hana_T68.spec.ts","","","","Hana_T68 - Cash and Carry Page - Payments - Donation Payment Section - Functionality Test",""
"failed","Thu Apr 30 07:16:58 UTC 2026","Thu Apr 30 07:18:45 UTC 2026","106807","Hana POS Automation - UI (headless)","cash_And_Carry_Page_Testcases/Hana_T33.spec.ts","","","","Hana_T33 - Cash and Carry Page -Purchase Product with Coupon - Functionality Test",""
"failed","Thu Apr 30 07:35:46 UTC 2026","Thu Apr 30 07:37:28 UTC 2026","101507","Hana POS Automation - UI (headless)","recentOrdersTestcases/Hana_T1044.spec.ts","","","","Hana_T1044 - Cancel Order with Existing Customer Functionality Test",""
"failed","Thu Apr 30 07:30:58 UTC 2026","Thu Apr 30 07:32:40 UTC 2026","102029","Hana POS Automation - UI (headless)","phoneOrderTestcases/wirein_PhoneOrderTestCases/Hana_T455.spec.ts","","","","Hana_T455 - Order Entry Page - Wire In - Wire In Info - Functionality Test",""
"failed","Thu Apr 30 07:20:44 UTC 2026","Thu Apr 30 07:22:29 UTC 2026","104936","Hana POS Automation - UI (headless)","cash_And_Carry_Page_Testcases/Hana_T59.spec.ts","","","","Hana_T59 - Cash and Carry Page - Payments - Paid Outside Hana POH Payment Section - Functionality Test",""
"failed","Thu Apr 30 07:15:05 UTC 2026","Thu Apr 30 07:16:52 UTC 2026","107054","Hana POS Automation - UI (headless)","advanceDispatchTestcases/Hana_T944.spec.ts","","","","Hana_T944 - Advance Dispatch with Existing Customer Scan Order Functionality Test",""
"failed","Thu Apr 30 07:43:13 UTC 2026","Thu Apr 30 07:45:06 UTC 2026","112758","Hana POS Automation - UI (headless)","website_Testcases/webAdminTestcases/addNewSubscriptionProductWithAddons_Test.spec.ts","Web Admin Add New Subscription Product Enabled Functionality","","","Web admin Add New subscription Product with New Addons Functionality Test",""
"failed","Thu Apr 30 07:27:51 UTC 2026","Thu Apr 30 07:29:33 UTC 2026","102048","Hana POS Automation - UI (headless)","phoneOrderTestcases/delivery_PhoneOrderTestcases/Hana_T446_delivery_functionality_with_existing_customer_functionality_test.spec.ts","","","","Hana_T446 - Phone Order Delivery Type with Existing Customer Functionality Test",""
"failed","Thu Apr 30 07:18:50 UTC 2026","Thu Apr 30 07:20:36 UTC 2026","106304","Hana POS Automation - UI (headless)","cash_And_Carry_Page_Testcases/Hana_T40.spec.ts","","","","Hana_T40 - Cash and Carry Page - Split Payment - Functionality Test",""
"failed","Thu Apr 30 07:38:43 UTC 2026","Thu Apr 30 07:40:25 UTC 2026","101893","Hana POS Automation - UI (headless)","recentOrdersTestcases/Hana_T1431.spec.ts","","","","Hana_T1431 - All Orders Page - Verify status for Cash and Carry order created with an existing customer",""
"failed","Thu Apr 30 07:16:59 UTC 2026","Thu Apr 30 07:18:45 UTC 2026","105760","Hana POS Automation - UI (headless)","cash_And_Carry_Page_Testcases/Hana_T37.spec.ts","","","","Hana_T37 - Cash and Carry Page - Add New Customer - Functionality Test",""
"failed","Thu Apr 30 07:30:44 UTC 2026","Thu Apr 30 07:30:56 UTC 2026","12005","Hana POS Automation - UI (headless)","loginPageTestcases/loginWithMFATest.spec.ts","Login Page Testcases","","","Verify that Login for MFA user session data should not load before OTP verification",""
"failed","Thu Apr 30 07:18:51 UTC 2026","Thu Apr 30 07:20:38 UTC 2026","107033","Hana POS Automation - UI (headless)","cash_And_Carry_Page_Testcases/Hana_T51.spec.ts","","","","Hana_T51 - Cash and Carry Page - Payments - Cash Payment Section - Functionality Test",""
"failed","Thu Apr 30 07:41:31 UTC 2026","Thu Apr 30 07:43:21 UTC 2026","109949","Hana POS Automation - UI (headless)","website_Testcases/webAdminTestcases/addNewProductWithAddons_Test.spec.ts","Web Admin Add New Product with addons Functionality","","","Hana-1219 Web admin Add New Product Availability Active Enabled Functionality Test",""
